Fri Oct 12 00:25:52 EDT 2018
processing ./loginutils/passwd.c
cli_file /mnt/scratch/paul/varbugs/output/busybox_1_28_0/535.config/loginutils/passwd.c.cli
Checking e2fsprogs/chattr.c: ENABLE_COMPRESSION...
Checking e2fsprogs/chattr.c: ENABLE_DESKTOP...
Checking e2fsprogs/chattr.c: ENABLE_FEATURE_BUFFERS_GO_IN_BSS...
Checking e2fsprogs/chattr.c: ENABLE_FEATURE_BUFFERS_GO_ON_STACK...
Checking e2fsprogs/chattr.c: ENABLE_FEATURE_CHECK_NAMES...
Checking e2fsprogs/chattr.c: ENABLE_FEATURE_DEVFS...
Checking e2fsprogs/chattr.c: ENABLE_FEATURE_EDITING...
Checking e2fsprogs/chattr.c: ENABLE_FEATURE_EDITING;ENABLE_FEATURE_EDITING_SAVEHISTORY...
Checking e2fsprogs/chattr.c: ENABLE_FEATURE_EDITING;ENABLE_FEATURE_EDITING_SAVE_ON_EXIT...
Checking e2fsprogs/chattr.c: ENABLE_FEATURE_HWIB...
Checking e2fsprogs/chattr.c: ENABLE_FEATURE_INDIVIDUAL...
Checking e2fsprogs/chattr.c: ENABLE_FEATURE_IPV6...
Checking e2fsprogs/chattr.c: ENABLE_FEATURE_PREFER_APPLETS...
Checking e2fsprogs/chattr.c: ENABLE_FEATURE_PS_ADDITIONAL_COLUMNS...
Checking e2fsprogs/chattr.c: ENABLE_FEATURE_SHADOWPASSWDS...
Checking e2fsprogs/chattr.c: ENABLE_FEATURE_SHADOWPASSWDS;ENABLE_USE_BB_SHADOW...
Checking e2fsprogs/chattr.c: ENABLE_FEATURE_TOPMEM...
Checking e2fsprogs/chattr.c: ENABLE_FEATURE_TOP_SMP_PROCESS...
Checking e2fsprogs/chattr.c: ENABLE_FEATURE_UTMP...
Checking e2fsprogs/chattr.c: ENABLE_FEATURE_UTMP;_PATH_UTMP...
Checking e2fsprogs/chattr.c: ENABLE_FEATURE_UTMP;__UCLIBC_HAS_UTMPX__;__UCLIBC__...
Checking e2fsprogs/chattr.c: ENABLE_FEATURE_UTMP;__UCLIBC__...
Checking e2fsprogs/chattr.c: ENABLE_IOCTL_HEX2STR_ERROR...
Checking e2fsprogs/chattr.c: ENABLE_LFS...
Checking e2fsprogs/chattr.c: ENABLE_LOCALE_SUPPORT...
Checking e2fsprogs/chattr.c: ENABLE_LONG_OPTS...
Checking e2fsprogs/chattr.c: ENABLE_ROUTE...
Checking e2fsprogs/chattr.c: ENABLE_SELINUX...
Checking e2fsprogs/chattr.c: ENABLE_USE_BB_PWD_GRP...
Checking e2fsprogs/chattr.c: HAVE_MNTENT_H...
Checking e2fsprogs/chattr.c: HAVE_PRINTF_PERCENTM...
Checking e2fsprogs/chattr.c: HAVE_SYS_STATFS_H...
Checking e2fsprogs/chattr.c: HAVE_UNLOCKED_LINE_OPS...
Checking e2fsprogs/chattr.c: HAVE_UNLOCKED_STDIO...
Checking e2fsprogs/chattr.c: TASK_COMM_LEN...
Checking e2fsprogs/chattr.c: UINT_MAX=0xffffffff...
Checking e2fsprogs/chattr.c: UNUSED_FOR_NOW...
Checking e2fsprogs/chattr.c: WANT_PIDFILE...
Checking e2fsprogs/chattr.c: _BYTE_ORDER...
Checking e2fsprogs/chattr.c: _NEWLIB_VERSION;__BIONIC__;__GLIBC__;__UCLIBC__;__dietlibc__...
Checking e2fsprogs/chattr.c: _SC_ARG_MAX...
Checking e2fsprogs/chattr.c: __386__...
Checking e2fsprogs/chattr.c: __APPLE__...
Checking e2fsprogs/chattr.c: __APPLE__;__FreeBSD__;__NetBSD__;__OpenBSD__...
Checking e2fsprogs/chattr.c: __APPLE__;__NetBSD__;__OpenBSD__;__digital__;__unix__...
Checking e2fsprogs/chattr.c: __BYTE_ORDER...
Checking e2fsprogs/chattr.c: __CYGWIN__...
Checking e2fsprogs/chattr.c: __FreeBSD__...
Checking e2fsprogs/chattr.c: __FreeBSD__;__OpenBSD__...
Checking e2fsprogs/chattr.c: __FreeBSD_kernel__...
Checking e2fsprogs/chattr.c: __GLIBC__...
Checking e2fsprogs/chattr.c: __GNUC_MINOR__;__GNUC__...
Checking e2fsprogs/chattr.c: __GNU__...
Checking e2fsprogs/chattr.c: __NetBSD__...
Checking e2fsprogs/chattr.c: __STDC_VERSION__...
Checking e2fsprogs/chattr.c: __UCLIBC__...
Checking e2fsprogs/chattr.c: __WATCOMC__...
Checking e2fsprogs/chattr.c: __cris__;__mips__;__x86_64__;i386...
Checking e2fsprogs/chattr.c: __dietlibc__...
Checking e2fsprogs/chattr.c: __digital__;__unix__...
Checking e2fsprogs/chattr.c: __linux__...
Checking e2fsprogs/chattr.c: __powerpc__;__x86_64__;i386...
Checking e2fsprogs/chattr.c: i386...
processing ./e2fsprogs/fsck.c
cli_file /mnt/scratch/paul/varbugs/output/busybox_1_28_0/368.config/e2fsprogs/fsck.c.cli
Checking e2fsprogs/fsck.c ...
Checking e2fsprogs/fsck.c: AF_NETLINK...
Checking e2fsprogs/fsck.c: AF_PACKET...
Checking e2fsprogs/fsck.c: ANDROID;__ANDROID__...
Checking e2fsprogs/fsck.c: ARG_MAX...
Checking e2fsprogs/fsck.c: BB_MMU...
Checking e2fsprogs/fsck.c: BYTE_ORDER...
Checking e2fsprogs/fsck.c: CONFIG_FEATURE_EDITING_HISTORY;ENABLE_FEATURE_EDITING...
Checking e2fsprogs/fsck.c: DMALLOC...
Checking e2fsprogs/fsck.c: ENABLE_DESKTOP...
Checking e2fsprogs/fsck.c: ENABLE_FEATURE_BUFFERS_GO_IN_BSS...
Checking e2fsprogs/fsck.c: ENABLE_FEATURE_BUFFERS_GO_ON_STACK...
Checking e2fsprogs/fsck.c: ENABLE_FEATURE_CHECK_NAMES...
Checking e2fsprogs/fsck.c: ENABLE_FEATURE_DEVFS...
Checking e2fsprogs/fsck.c: ENABLE_FEATURE_EDITING...
Checking e2fsprogs/fsck.c: ENABLE_FEATURE_EDITING;ENABLE_FEATURE_EDITING_SAVEHISTORY...
Checking e2fsprogs/fsck.c: ENABLE_FEATURE_EDITING;ENABLE_FEATURE_EDITING_SAVE_ON_EXIT...
Checking e2fsprogs/fsck.c: ENABLE_FEATURE_HWIB...
Checking e2fsprogs/fsck.c: ENABLE_FEATURE_INDIVIDUAL...
Checking e2fsprogs/fsck.c: ENABLE_FEATURE_IPV6...
Checking e2fsprogs/fsck.c: ENABLE_FEATURE_PREFER_APPLETS...
Checking e2fsprogs/fsck.c: ENABLE_FEATURE_PS_ADDITIONAL_COLUMNS...
Checking e2fsprogs/fsck.c: ENABLE_FEATURE_SHADOWPASSWDS...
Checking e2fsprogs/fsck.c: ENABLE_FEATURE_SHADOWPASSWDS;ENABLE_USE_BB_SHADOW...
Checking e2fsprogs/fsck.c: ENABLE_FEATURE_TOPMEM...
Checking e2fsprogs/fsck.c: ENABLE_FEATURE_TOP_SMP_PROCESS...
Checking e2fsprogs/fsck.c: ENABLE_FEATURE_UTMP...
Checking e2fsprogs/fsck.c: ENABLE_FEATURE_UTMP;_PATH_UTMP...
Checking e2fsprogs/fsck.c: ENABLE_FEATURE_UTMP;__UCLIBC_HAS_UTMPX__;__UCLIBC__...
Checking e2fsprogs/fsck.c: ENABLE_FEATURE_UTMP;__UCLIBC__...
Checking e2fsprogs/fsck.c: ENABLE_IOCTL_HEX2STR_ERROR...
Checking e2fsprogs/fsck.c: ENABLE_LFS...
Checking e2fsprogs/fsck.c: ENABLE_LOCALE_SUPPORT...
Checking e2fsprogs/fsck.c: ENABLE_LONG_OPTS...
Checking e2fsprogs/fsck.c: ENABLE_ROUTE...
Checking e2fsprogs/fsck.c: ENABLE_SELINUX...
Checking e2fsprogs/fsck.c: ENABLE_USE_BB_PWD_GRP...
Checking e2fsprogs/fsck.c: HAVE_MNTENT_H...
Checking e2fsprogs/fsck.c: HAVE_PRINTF_PERCENTM...
Checking e2fsprogs/fsck.c: HAVE_SYS_STATFS_H...
Checking e2fsprogs/fsck.c: HAVE_UNLOCKED_LINE_OPS...
Checking e2fsprogs/fsck.c: HAVE_UNLOCKED_STDIO...
Checking e2fsprogs/fsck.c: TASK_COMM_LEN...
Checking e2fsprogs/fsck.c: UINT_MAX=0xffffffff...
Checking e2fsprogs/fsck.c: UNUSED_FOR_NOW...
Checking e2fsprogs/fsck.c: WANT_PIDFILE...
Checking e2fsprogs/fsck.c: _BYTE_ORDER...
Checking e2fsprogs/fsck.c: _NEWLIB_VERSION;__BIONIC__;__GLIBC__;__UCLIBC__;__dietlibc__...
Checking e2fsprogs/fsck.c: _SC_ARG_MAX...
Checking e2fsprogs/fsck.c: __386__...
Checking e2fsprogs/fsck.c: __APPLE__...
Checking e2fsprogs/fsck.c: __APPLE__;__FreeBSD__;__NetBSD__;__OpenBSD__...
Checking e2fsprogs/fsck.c: __APPLE__;__NetBSD__;__OpenBSD__;__digital__;__unix__...
Checking e2fsprogs/fsck.c: __BYTE_ORDER...
Checking e2fsprogs/fsck.c: __CYGWIN__...
Checking e2fsprogs/fsck.c: __FreeBSD__...
Checking e2fsprogs/fsck.c: __FreeBSD__;__OpenBSD__...
Checking e2fsprogs/fsck.c: __FreeBSD_kernel__...
Checking e2fsprogs/fsck.c: __GLIBC__...
Checking e2fsprogs/fsck.c: __GNUC_MINOR__;__GNUC__...
Checking e2fsprogs/fsck.c: __GNU__...
Checking e2fsprogs/fsck.c: __NetBSD__...
Checking e2fsprogs/fsck.c: __STDC_VERSION__...
Checking e2fsprogs/fsck.c: __UCLIBC__...
Checking e2fsprogs/fsck.c: __WATCOMC__...
Checking e2fsprogs/fsck.c: __cris__;__mips__;__x86_64__;i386...
Checking e2fsprogs/fsck.c: __dietlibc__...
Checking e2fsprogs/fsck.c: __digital__;__unix__...
Checking e2fsprogs/fsck.c: __linux__...
Checking e2fsprogs/fsck.c: __powerpc__;__x86_64__;i386...
Checking e2fsprogs/fsck.c: i386...
processing ./e2fsprogs/lsattr.c
cli_file /mnt/scratch/paul/varbugs/output/busybox_1_28_0/944.config/e2fsprogs/lsattr.c.cli
Checking e2fsprogs/lsattr.c ...
Checking e2fsprogs/lsattr.c: AF_NETLINK...
Checking e2fsprogs/lsattr.c: AF_PACKET...
Checking e2fsprogs/lsattr.c: ANDROID;__ANDROID__...
Checking e2fsprogs/lsattr.c: ARG_MAX...
Checking e2fsprogs/lsattr.c: BB_MMU...
Checking e2fsprogs/lsattr.c: BYTE_ORDER...
Checking e2fsprogs/lsattr.c: CONFIG_FEATURE_EDITING_HISTORY;ENABLE_FEATURE_EDITING...
Checking e2fsprogs/lsattr.c: DMALLOC...
Checking e2fsprogs/lsattr.c: ENABLE_COMPRESSION...
Checking e2fsprogs/lsattr.c: ENABLE_DESKTOP...
Checking e2fsprogs/lsattr.c: ENABLE_FEATURE_BUFFERS_GO_IN_BSS...
Checking e2fsprogs/lsattr.c: ENABLE_FEATURE_BUFFERS_GO_ON_STACK...
Checking e2fsprogs/lsattr.c: ENABLE_FEATURE_CHECK_NAMES...
Checking e2fsprogs/lsattr.c: ENABLE_FEATURE_DEVFS...
Checking e2fsprogs/lsattr.c: ENABLE_FEATURE_EDITING...
Checking e2fsprogs/lsattr.c: ENABLE_FEATURE_EDITING;ENABLE_FEATURE_EDITING_SAVEHISTORY...
Checking e2fsprogs/lsattr.c: ENABLE_FEATURE_EDITING;ENABLE_FEATURE_EDITING_SAVE_ON_EXIT...
Checking e2fsprogs/lsattr.c: ENABLE_FEATURE_HWIB...
Checking e2fsprogs/lsattr.c: ENABLE_FEATURE_INDIVIDUAL...
Checking e2fsprogs/lsattr.c: ENABLE_FEATURE_IPV6...
Checking e2fsprogs/lsattr.c: ENABLE_FEATURE_PREFER_APPLETS...
Checking e2fsprogs/lsattr.c: ENABLE_FEATURE_PS_ADDITIONAL_COLUMNS...
Checking e2fsprogs/lsattr.c: ENABLE_FEATURE_SHADOWPASSWDS...
Checking e2fsprogs/lsattr.c: ENABLE_FEATURE_SHADOWPASSWDS;ENABLE_USE_BB_SHADOW...
Checking e2fsprogs/lsattr.c: ENABLE_FEATURE_TOPMEM...
Checking e2fsprogs/lsattr.c: ENABLE_FEATURE_TOP_SMP_PROCESS...
Checking e2fsprogs/lsattr.c: ENABLE_FEATURE_UTMP...
Checking e2fsprogs/lsattr.c: ENABLE_FEATURE_UTMP;_PATH_UTMP...
Checking e2fsprogs/lsattr.c: ENABLE_FEATURE_UTMP;__UCLIBC_HAS_UTMPX__;__UCLIBC__...
Checking e2fsprogs/lsattr.c: ENABLE_FEATURE_UTMP;__UCLIBC__...
Checking e2fsprogs/lsattr.c: ENABLE_IOCTL_HEX2STR_ERROR...
Checking e2fsprogs/lsattr.c: ENABLE_LFS...
Checking e2fsprogs/lsattr.c: ENABLE_LOCALE_SUPPORT...
Checking e2fsprogs/lsattr.c: ENABLE_LONG_OPTS...
Checking e2fsprogs/lsattr.c: ENABLE_ROUTE...
Checking e2fsprogs/lsattr.c: ENABLE_SELINUX...
Checking e2fsprogs/lsattr.c: ENABLE_USE_BB_PWD_GRP...
Checking e2fsprogs/lsattr.c: HAVE_MNTENT_H...
Checking e2fsprogs/lsattr.c: HAVE_PRINTF_PERCENTM...
Checking e2fsprogs/lsattr.c: HAVE_SYS_STATFS_H...
Checking e2fsprogs/lsattr.c: HAVE_UNLOCKED_LINE_OPS...
Checking e2fsprogs/lsattr.c: HAVE_UNLOCKED_STDIO...
Checking e2fsprogs/lsattr.c: TASK_COMM_LEN...
Checking e2fsprogs/lsattr.c: UINT_MAX=0xffffffff...
Checking e2fsprogs/lsattr.c: UNUSED_FOR_NOW...
Checking e2fsprogs/lsattr.c: WANT_PIDFILE...
Checking e2fsprogs/lsattr.c: _BYTE_ORDER...
Checking e2fsprogs/lsattr.c: _NEWLIB_VERSION;__BIONIC__;__GLIBC__;__UCLIBC__;__dietlibc__...
Checking e2fsprogs/lsattr.c: _SC_ARG_MAX...
Checking e2fsprogs/lsattr.c: __386__...
Checking e2fsprogs/lsattr.c: __APPLE__...
Checking e2fsprogs/lsattr.c: __APPLE__;__FreeBSD__;__NetBSD__;__OpenBSD__...
Checking e2fsprogs/lsattr.c: __APPLE__;__NetBSD__;__OpenBSD__;__digital__;__unix__...
Checking e2fsprogs/lsattr.c: __BYTE_ORDER...
Checking e2fsprogs/lsattr.c: __CYGWIN__...
Checking e2fsprogs/lsattr.c: __FreeBSD__...
Checking e2fsprogs/lsattr.c: __FreeBSD__;__OpenBSD__...
Checking e2fsprogs/lsattr.c: __FreeBSD_kernel__...
Checking e2fsprogs/lsattr.c: __GLIBC__...
Checking e2fsprogs/lsattr.c: __GNUC_MINOR__;__GNUC__...
Checking e2fsprogs/lsattr.c: __GNU__...
Checking e2fsprogs/lsattr.c: __NetBSD__...
Checking e2fsprogs/lsattr.c: __STDC_VERSION__...
Checking e2fsprogs/lsattr.c: __UCLIBC__...
Checking e2fsprogs/lsattr.c: __WATCOMC__...
Checking e2fsprogs/lsattr.c: __cris__;__mips__;__x86_64__;i386...
Checking e2fsprogs/lsattr.c: __dietlibc__...
Checking e2fsprogs/lsattr.c: __digital__;__unix__...
Checking e2fsprogs/lsattr.c: __linux__...
Checking e2fsprogs/lsattr.c: __powerpc__;__x86_64__;i386...
Checking e2fsprogs/lsattr.c: i386...
processing ./e2fsprogs/e2fs_lib.c
cli_file /mnt/scratch/paul/varbugs/output/busybox_1_28_0/9.config/e2fsprogs/e2fs_lib.c.cli
Checking e2fsprogs/e2fs_lib.c ...
Checking e2fsprogs/e2fs_lib.c: AF_NETLINK...
Checking e2fsprogs/e2fs_lib.c: AF_PACKET...
Checking e2fsprogs/e2fs_lib.c: ANDROID;__ANDROID__...
Checking e2fsprogs/e2fs_lib.c: ARG_MAX...
Checking e2fsprogs/e2fs_lib.c: BB_MMU...
Checking e2fsprogs/e2fs_lib.c: BYTE_ORDER...
Checking e2fsprogs/e2fs_lib.c: CONFIG_FEATURE_EDITING_HISTORY;ENABLE_FEATURE_EDITING...
Checking e2fsprogs/e2fs_lib.c: DMALLOC...
Checking e2fsprogs/e2fs_lib.c: ENABLE_COMPRESSION...
Checking e2fsprogs/e2fs_lib.c: ENABLE_DESKTOP...
Checking e2fsprogs/e2fs_lib.c: ENABLE_FEATURE_BUFFERS_GO_IN_BSS...
Checking e2fsprogs/e2fs_lib.c: ENABLE_FEATURE_BUFFERS_GO_ON_STACK...
Checking e2fsprogs/e2fs_lib.c: ENABLE_FEATURE_CHECK_NAMES...
Checking e2fsprogs/e2fs_lib.c: ENABLE_FEATURE_DEVFS...
Checking e2fsprogs/e2fs_lib.c: ENABLE_FEATURE_EDITING...
Checking e2fsprogs/e2fs_lib.c: ENABLE_FEATURE_EDITING;ENABLE_FEATURE_EDITING_SAVEHISTORY...
Checking e2fsprogs/e2fs_lib.c: ENABLE_FEATURE_EDITING;ENABLE_FEATURE_EDITING_SAVE_ON_EXIT...
Checking e2fsprogs/e2fs_lib.c: ENABLE_FEATURE_HWIB...
Checking e2fsprogs/e2fs_lib.c: ENABLE_FEATURE_INDIVIDUAL...
Checking e2fsprogs/e2fs_lib.c: ENABLE_FEATURE_IPV6...
Checking e2fsprogs/e2fs_lib.c: ENABLE_FEATURE_PREFER_APPLETS...
Checking e2fsprogs/e2fs_lib.c: ENABLE_FEATURE_PS_ADDITIONAL_COLUMNS...
Checking e2fsprogs/e2fs_lib.c: ENABLE_FEATURE_SHADOWPASSWDS...
Checking e2fsprogs/e2fs_lib.c: ENABLE_FEATURE_SHADOWPASSWDS;ENABLE_USE_BB_SHADOW...
Checking e2fsprogs/e2fs_lib.c: ENABLE_FEATURE_TOPMEM...
Checking e2fsprogs/e2fs_lib.c: ENABLE_FEATURE_TOP_SMP_PROCESS...
Checking e2fsprogs/e2fs_lib.c: ENABLE_FEATURE_UTMP...
Checking e2fsprogs/e2fs_lib.c: ENABLE_FEATURE_UTMP;_PATH_UTMP...
Checking e2fsprogs/e2fs_lib.c: ENABLE_FEATURE_UTMP;__UCLIBC_HAS_UTMPX__;__UCLIBC__...
Checking e2fsprogs/e2fs_lib.c: ENABLE_FEATURE_UTMP;__UCLIBC__...
Checking e2fsprogs/e2fs_lib.c: ENABLE_IOCTL_HEX2STR_ERROR...
Checking e2fsprogs/e2fs_lib.c: ENABLE_LFS...
Checking e2fsprogs/e2fs_lib.c: ENABLE_LOCALE_SUPPORT...
Checking e2fsprogs/e2fs_lib.c: ENABLE_LONG_OPTS...
Checking e2fsprogs/e2fs_lib.c: ENABLE_ROUTE...
Checking e2fsprogs/e2fs_lib.c: ENABLE_SELINUX...
Checking e2fsprogs/e2fs_lib.c: ENABLE_USE_BB_PWD_GRP...
Checking e2fsprogs/e2fs_lib.c: HAVE_MNTENT_H...
Checking e2fsprogs/e2fs_lib.c: HAVE_PRINTF_PERCENTM...
Checking e2fsprogs/e2fs_lib.c: HAVE_SYS_STATFS_H...
Checking e2fsprogs/e2fs_lib.c: HAVE_UNLOCKED_LINE_OPS...
Checking e2fsprogs/e2fs_lib.c: HAVE_UNLOCKED_STDIO...
Checking e2fsprogs/e2fs_lib.c: TASK_COMM_LEN...
Checking e2fsprogs/e2fs_lib.c: UINT_MAX=0xffffffff...
Checking e2fsprogs/e2fs_lib.c: UNUSED_FOR_NOW...
Checking e2fsprogs/e2fs_lib.c: WANT_PIDFILE...
Checking e2fsprogs/e2fs_lib.c: _BYTE_ORDER...
Checking e2fsprogs/e2fs_lib.c: _NEWLIB_VERSION;__BIONIC__;__GLIBC__;__UCLIBC__;__dietlibc__...
Checking e2fsprogs/e2fs_lib.c: _SC_ARG_MAX...
Checking e2fsprogs/e2fs_lib.c: __386__...
Checking e2fsprogs/e2fs_lib.c: __APPLE__...
Checking e2fsprogs/e2fs_lib.c: __APPLE__;__FreeBSD__;__NetBSD__;__OpenBSD__...
Checking e2fsprogs/e2fs_lib.c: __APPLE__;__NetBSD__;__OpenBSD__;__digital__;__unix__...
Checking e2fsprogs/e2fs_lib.c: __BYTE_ORDER...
Checking e2fsprogs/e2fs_lib.c: __CYGWIN__...
Checking e2fsprogs/e2fs_lib.c: __FreeBSD__...
Checking e2fsprogs/e2fs_lib.c: __FreeBSD__;__OpenBSD__...
Checking e2fsprogs/e2fs_lib.c: __FreeBSD_kernel__...
Checking e2fsprogs/e2fs_lib.c: __GLIBC__...
Checking e2fsprogs/e2fs_lib.c: __GNUC_MINOR__;__GNUC__...
Checking e2fsprogs/e2fs_lib.c: __GNU__...
Checking e2fsprogs/e2fs_lib.c: __NetBSD__...
Checking e2fsprogs/e2fs_lib.c: __STDC_VERSION__...
Checking e2fsprogs/e2fs_lib.c: __UCLIBC__...
Checking e2fsprogs/e2fs_lib.c: __WATCOMC__...
Checking e2fsprogs/e2fs_lib.c: __cris__;__mips__;__x86_64__;i386...
Checking e2fsprogs/e2fs_lib.c: __dietlibc__...
Checking e2fsprogs/e2fs_lib.c: __digital__;__unix__...
Checking e2fsprogs/e2fs_lib.c: __linux__...
Checking e2fsprogs/e2fs_lib.c: __powerpc__;__x86_64__;i386...
Checking e2fsprogs/e2fs_lib.c: i386...
processing ./klibc-utils/minips.c
cli_file
Checking klibc-utils/minips.c ...
processing ./klibc-utils/run-init.c
cli_file
Checking klibc-utils/run-init.c ...
processing ./klibc-utils/resume.c
cli_file /mnt/scratch/paul/varbugs/output/busybox_1_28_0/9.config/klibc-utils/resume.c.cli
Checking klibc-utils/resume.c ...
Checking klibc-utils/resume.c: AF_NETLINK...
Checking klibc-utils/resume.c: AF_PACKET...
Checking klibc-utils/resume.c: ANDROID;__ANDROID__...
Checking klibc-utils/resume.c: ARG_MAX...
Checking klibc-utils/resume.c: BB_MMU...
Checking klibc-utils/resume.c: BYTE_ORDER...
Checking klibc-utils/resume.c: CONFIG_FEATURE_EDITING_HISTORY;ENABLE_FEATURE_EDITING...
Checking klibc-utils/resume.c: DMALLOC...
Checking klibc-utils/resume.c: ENABLE_DESKTOP...
Checking klibc-utils/resume.c: ENABLE_FEATURE_BUFFERS_GO_IN_BSS...
Checking klibc-utils/resume.c: ENABLE_FEATURE_BUFFERS_GO_ON_STACK...
Checking klibc-utils/resume.c: ENABLE_FEATURE_CHECK_NAMES...
Checking klibc-utils/resume.c: ENABLE_FEATURE_DEVFS...
Checking klibc-utils/resume.c: ENABLE_FEATURE_EDITING...
Checking klibc-utils/resume.c: ENABLE_FEATURE_EDITING;ENABLE_FEATURE_EDITING_SAVEHISTORY...
Checking klibc-utils/resume.c: ENABLE_FEATURE_EDITING;ENABLE_FEATURE_EDITING_SAVE_ON_EXIT...
Checking klibc-utils/resume.c: ENABLE_FEATURE_HWIB...
Checking klibc-utils/resume.c: ENABLE_FEATURE_INDIVIDUAL...
Checking klibc-utils/resume.c: ENABLE_FEATURE_IPV6...
Checking klibc-utils/resume.c: ENABLE_FEATURE_PREFER_APPLETS...
Checking klibc-utils/resume.c: ENABLE_FEATURE_PS_ADDITIONAL_COLUMNS...
Checking klibc-utils/resume.c: ENABLE_FEATURE_SHADOWPASSWDS...
Checking klibc-utils/resume.c: ENABLE_FEATURE_SHADOWPASSWDS;ENABLE_USE_BB_SHADOW...
Checking klibc-utils/resume.c: ENABLE_FEATURE_TOPMEM...
Checking klibc-utils/resume.c: ENABLE_FEATURE_TOP_SMP_PROCESS...
Checking klibc-utils/resume.c: ENABLE_FEATURE_UTMP...
Checking klibc-utils/resume.c: ENABLE_FEATURE_UTMP;_PATH_UTMP...
Checking klibc-utils/resume.c: ENABLE_FEATURE_UTMP;__UCLIBC_HAS_UTMPX__;__UCLIBC__...
Checking klibc-utils/resume.c: ENABLE_FEATURE_UTMP;__UCLIBC__...
Checking klibc-utils/resume.c: ENABLE_IOCTL_HEX2STR_ERROR...
Checking klibc-utils/resume.c: ENABLE_LFS...
Checking klibc-utils/resume.c: ENABLE_LOCALE_SUPPORT...
Checking klibc-utils/resume.c: ENABLE_LONG_OPTS...
Checking klibc-utils/resume.c: ENABLE_ROUTE...
Checking klibc-utils/resume.c: ENABLE_SELINUX...
Checking klibc-utils/resume.c: ENABLE_USE_BB_PWD_GRP...
Checking klibc-utils/resume.c: HAVE_MNTENT_H...
Checking klibc-utils/resume.c: HAVE_PRINTF_PERCENTM...
Checking klibc-utils/resume.c: HAVE_SYS_STATFS_H...
Checking klibc-utils/resume.c: HAVE_UNLOCKED_LINE_OPS...
Checking klibc-utils/resume.c: HAVE_UNLOCKED_STDIO...
Checking klibc-utils/resume.c: TASK_COMM_LEN...
Checking klibc-utils/resume.c: UINT_MAX=0xffffffff...
Checking klibc-utils/resume.c: UNUSED_FOR_NOW...
Checking klibc-utils/resume.c: WANT_PIDFILE...
Checking klibc-utils/resume.c: _BYTE_ORDER...
Checking klibc-utils/resume.c: _NEWLIB_VERSION;__BIONIC__;__GLIBC__;__UCLIBC__;__dietlibc__...
Checking klibc-utils/resume.c: _SC_ARG_MAX...
Checking klibc-utils/resume.c: __386__...
Checking klibc-utils/resume.c: __APPLE__...
Checking klibc-utils/resume.c: __APPLE__;__FreeBSD__;__NetBSD__;__OpenBSD__...
Checking klibc-utils/resume.c: __APPLE__;__NetBSD__;__OpenBSD__;__digital__;__unix__...
Checking klibc-utils/resume.c: __BYTE_ORDER...
Checking klibc-utils/resume.c: __CYGWIN__...
Checking klibc-utils/resume.c: __FreeBSD__...
Checking klibc-utils/resume.c: __FreeBSD__;__OpenBSD__...
Checking klibc-utils/resume.c: __FreeBSD_kernel__...
Checking klibc-utils/resume.c: __GLIBC__...
Checking klibc-utils/resume.c: __GNUC_MINOR__;__GNUC__...
Checking klibc-utils/resume.c: __GNU__...
Checking klibc-utils/resume.c: __NetBSD__...
Checking klibc-utils/resume.c: __STDC_VERSION__...
Checking klibc-utils/resume.c: __UCLIBC__...
Checking klibc-utils/resume.c: __WATCOMC__...
Checking klibc-utils/resume.c: __cris__;__mips__;__x86_64__;i386...
Checking klibc-utils/resume.c: __dietlibc__...
Checking klibc-utils/resume.c: __digital__;__unix__...
Checking klibc-utils/resume.c: __linux__...
Checking klibc-utils/resume.c: __powerpc__;__x86_64__;i386...
Checking klibc-utils/resume.c: i386...
processing ./klibc-utils/nuke.c
cli_file /mnt/scratch/paul/varbugs/output/busybox_1_28_0/523.config/klibc-utils/nuke.c.cli
Checking klibc-utils/nuke.c ...
Checking klibc-utils/nuke.c: AF_NETLINK...
Checking klibc-utils/nuke.c: AF_PACKET...
Checking klibc-utils/nuke.c: ANDROID;__ANDROID__...
Checking klibc-utils/nuke.c: ARG_MAX...
Checking klibc-utils/nuke.c: BB_MMU...
Checking klibc-utils/nuke.c: BYTE_ORDER...
Checking klibc-utils/nuke.c: CONFIG_FEATURE_EDITING_HISTORY;ENABLE_FEATURE_EDITING...
Checking klibc-utils/nuke.c: DMALLOC...
Checking klibc-utils/nuke.c: ENABLE_DESKTOP...
Checking klibc-utils/nuke.c: ENABLE_FEATURE_BUFFERS_GO_IN_BSS...
Checking klibc-utils/nuke.c: ENABLE_FEATURE_BUFFERS_GO_ON_STACK...
Checking klibc-utils/nuke.c: ENABLE_FEATURE_CHECK_NAMES...
Checking klibc-utils/nuke.c: ENABLE_FEATURE_DEVFS...
Checking klibc-utils/nuke.c: ENABLE_FEATURE_EDITING...
Checking klibc-utils/nuke.c: ENABLE_FEATURE_EDITING;ENABLE_FEATURE_EDITING_SAVEHISTORY...
Checking klibc-utils/nuke.c: ENABLE_FEATURE_EDITING;ENABLE_FEATURE_EDITING_SAVE_ON_EXIT...
Checking klibc-utils/nuke.c: ENABLE_FEATURE_HWIB...
Checking klibc-utils/nuke.c: ENABLE_FEATURE_INDIVIDUAL...
Checking klibc-utils/nuke.c: ENABLE_FEATURE_IPV6...
Checking klibc-utils/nuke.c: ENABLE_FEATURE_PREFER_APPLETS...
